timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723809937228,32,Petición HTTP,200,OK,Open Model Thread Group 1-2264,text,true,,189,196,9,9,http://127.0.0.1:5000/,32,0,2
1723809937231,30,Petición HTTP,200,OK,Open Model Thread Group 1-2265,text,true,,189,196,8,8,http://127.0.0.1:5000/,30,0,2
1723809937236,27,Petición HTTP,200,OK,Open Model Thread Group 1-2266,text,true,,189,196,9,9,http://127.0.0.1:5000/,26,0,1
1723809937240,30,Petición HTTP,200,OK,Open Model Thread Group 1-2268,text,true,,189,196,10,10,http://127.0.0.1:5000/,30,0,2
1723809937236,37,Petición HTTP,200,OK,Open Model Thread Group 1-2267,text,true,,189,196,9,9,http://127.0.0.1:5000/,36,0,2
1723809937249,28,Petición HTTP,200,OK,Open Model Thread Group 1-2271,text,true,,189,196,8,8,http://127.0.0.1:5000/,28,0,2
1723809937245,33,Petición HTTP,200,OK,Open Model Thread Group 1-2270,text,true,,189,196,7,7,http://127.0.0.1:5000/,33,0,2
1723809937240,38,Petición HTTP,200,OK,Open Model Thread Group 1-2269,text,true,,189,196,6,6,http://127.0.0.1:5000/,38,0,3
1723809937249,38,Petición HTTP,200,OK,Open Model Thread Group 1-2272,text,true,,189,196,11,11,http://127.0.0.1:5000/,38,0,2
1723809937266,27,Petición HTTP,200,OK,Open Model Thread Group 1-2275,text,true,,189,196,12,12,http://127.0.0.1:5000/,27,0,2
1723809937270,27,Petición HTTP,200,OK,Open Model Thread Group 1-2276,text,true,,189,196,11,11,http://127.0.0.1:5000/,27,0,1
1723809937261,38,Petición HTTP,200,OK,Open Model Thread Group 1-2273,text,true,,189,196,11,11,http://127.0.0.1:5000/,37,0,2
1723809937280,22,Petición HTTP,200,OK,Open Model Thread Group 1-2278,text,true,,189,196,11,11,http://127.0.0.1:5000/,21,0,1
1723809937262,43,Petición HTTP,200,OK,Open Model Thread Group 1-2274,text,true,,189,196,10,10,http://127.0.0.1:5000/,42,0,2
1723809937281,26,Petición HTTP,200,OK,Open Model Thread Group 1-2279,text,true,,189,196,10,10,http://127.0.0.1:5000/,26,0,1
1723809937280,29,Petición HTTP,200,OK,Open Model Thread Group 1-2277,text,true,,189,196,9,9,http://127.0.0.1:5000/,29,0,2
1723809937287,24,Petición HTTP,200,OK,Open Model Thread Group 1-2282,text,true,,189,196,8,8,http://127.0.0.1:5000/,24,0,0
1723809937286,27,Petición HTTP,200,OK,Open Model Thread Group 1-2280,text,true,,189,196,7,7,http://127.0.0.1:5000/,27,0,1
1723809937291,23,Petición HTTP,200,OK,Open Model Thread Group 1-2283,text,true,,189,196,6,6,http://127.0.0.1:5000/,23,0,1
1723809937301,15,Petición HTTP,200,OK,Open Model Thread Group 1-2286,text,true,,189,196,5,5,http://127.0.0.1:5000/,15,0,1
1723809937293,25,Petición HTTP,200,OK,Open Model Thread Group 1-2284,text,true,,189,196,4,4,http://127.0.0.1:5000/,25,0,1
1723809937287,31,Petición HTTP,200,OK,Open Model Thread Group 1-2281,text,true,,189,196,4,4,http://127.0.0.1:5000/,31,0,0
1723809937298,23,Petición HTTP,200,OK,Open Model Thread Group 1-2285,text,true,,189,196,3,3,http://127.0.0.1:5000/,23,0,1
1723809937306,16,Petición HTTP,200,OK,Open Model Thread Group 1-2287,text,true,,189,196,2,2,http://127.0.0.1:5000/,16,0,1
1723809937318,7,Petición HTTP,200,OK,Open Model Thread Group 1-2288,text,true,,189,196,2,2,http://127.0.0.1:5000/,6,0,2
1723809937324,3,Petición HTTP,200,OK,Open Model Thread Group 1-2289,text,true,,189,196,2,2,http://127.0.0.1:5000/,3,0,2
1723809937327,3,Petición HTTP,200,OK,Open Model Thread Group 1-2290,text,true,,189,196,2,2,http://127.0.0.1:5000/,3,0,1
1723809937329,4,Petición HTTP,200,OK,Open Model Thread Group 1-2291,text,true,,189,196,3,3,http://127.0.0.1:5000/,4,0,1
1723809937331,8,Petición HTTP,200,OK,Open Model Thread Group 1-2292,text,true,,189,196,4,4,http://127.0.0.1:5000/,8,0,1
1723809937333,14,Petición HTTP,200,OK,Open Model Thread Group 1-2293,text,true,,189,196,6,6,http://127.0.0.1:5000/,12,0,6
1723809937340,16,Petición HTTP,200,OK,Open Model Thread Group 1-2294,text,true,,189,196,9,9,http://127.0.0.1:5000/,15,0,2
1723809937340,23,Petición HTTP,200,OK,Open Model Thread Group 1-2296,text,true,,189,196,10,10,http://127.0.0.1:5000/,23,0,4
1723809937344,19,Petición HTTP,200,OK,Open Model Thread Group 1-2298,text,true,,189,196,10,10,http://127.0.0.1:5000/,19,0,3
1723809937340,34,Petición HTTP,200,OK,Open Model Thread Group 1-2295,text,true,,189,196,14,14,http://127.0.0.1:5000/,32,0,4
1723809937340,34,Petición HTTP,200,OK,Open Model Thread Group 1-2297,text,true,,189,196,14,14,http://127.0.0.1:5000/,30,0,6
1723809937350,32,Petición HTTP,200,OK,Open Model Thread Group 1-2300,text,true,,189,196,14,14,http://127.0.0.1:5000/,32,0,2
1723809937350,33,Petición HTTP,200,OK,Open Model Thread Group 1-2301,text,true,,189,196,13,13,http://127.0.0.1:5000/,33,0,3
1723809937352,36,Petición HTTP,200,OK,Open Model Thread Group 1-2302,text,true,,189,196,12,12,http://127.0.0.1:5000/,36,0,2
1723809937348,41,Petición HTTP,200,OK,Open Model Thread Group 1-2299,text,true,,189,196,11,11,http://127.0.0.1:5000/,41,0,1
1723809937362,28,Petición HTTP,200,OK,Open Model Thread Group 1-2303,text,true,,189,196,10,10,http://127.0.0.1:5000/,28,0,1
1723809937362,33,Petición HTTP,200,OK,Open Model Thread Group 1-2304,text,true,,189,196,9,9,http://127.0.0.1:5000/,33,0,1
1723809937364,39,Petición HTTP,200,OK,Open Model Thread Group 1-2305,text,true,,189,196,17,17,http://127.0.0.1:5000/,34,0,4
1723809937379,29,Petición HTTP,200,OK,Open Model Thread Group 1-2311,text,true,,189,196,19,19,http://127.0.0.1:5000/,23,0,1
1723809937364,48,Petición HTTP,200,OK,Open Model Thread Group 1-2306,text,true,,189,196,20,20,http://127.0.0.1:5000/,40,0,6
1723809937374,39,Petición HTTP,200,OK,Open Model Thread Group 1-2310,text,true,,189,196,19,19,http://127.0.0.1:5000/,38,0,2
1723809937379,35,Petición HTTP,200,OK,Open Model Thread Group 1-2312,text,true,,189,196,19,19,http://127.0.0.1:5000/,34,0,1
1723809937365,55,Petición HTTP,200,OK,Open Model Thread Group 1-2307,text,true,,189,196,19,19,http://127.0.0.1:5000/,55,0,9
1723809937370,53,Petición HTTP,200,OK,Open Model Thread Group 1-2309,text,true,,189,196,18,18,http://127.0.0.1:5000/,52,0,5
1723809937366,66,Petición HTTP,200,OK,Open Model Thread Group 1-2308,text,true,,189,196,17,17,http://127.0.0.1:5000/,66,0,6
1723809937396,44,Petición HTTP,200,OK,Open Model Thread Group 1-2316,text,true,,189,196,18,18,http://127.0.0.1:5000/,43,0,2
1723809937397,53,Petición HTTP,200,OK,Open Model Thread Group 1-2315,text,true,,189,196,18,18,http://127.0.0.1:5000/,53,0,3
1723809937396,56,Petición HTTP,200,OK,Open Model Thread Group 1-2313,text,true,,189,196,17,17,http://127.0.0.1:5000/,55,0,6
1723809937405,49,Petición HTTP,200,OK,Open Model Thread Group 1-2322,text,true,,189,196,16,16,http://127.0.0.1:5000/,49,0,6
1723809937434,23,Petición HTTP,200,OK,Open Model Thread Group 1-2329,text,true,,189,196,15,15,http://127.0.0.1:5000/,23,0,1
